"id","description","chart_template_id:id","type_tax_use","name","amount_type","amount","account_id:id","refund_account_id:id","children_tax_ids:id","tag_ids:id","tax_group_id:id"
"tax_sale","Salgsmoms","l10n_dk","sale","Salgsmoms","percent","25","6902","6902","","tag_tax_sale","tax_group_25"
"tax_purchase","Købsmoms","l10n_dk","purchase","Købsmoms","percent","25","6903","6903","","tag_tax_purchase","tax_group_25"
"tax_sale_services","Salgsmoms Ydelser","l10n_dk","sale","Salgsmoms Ydelser","percent","25","6902","6902","","tag_tax_sale","tax_group_25"
"tax_purchase_services","Købsmoms Ydelser","l10n_dk","purchase","Købsmoms Ydesler","percent","25","6903","6903","","tag_tax_purchase","tax_group_25"
"tax_eu_purchase_in","EU Erhvervelsesmoms","l10n_dk","none","EU Erhvervelsesmoms","percent","25","6906","6906","","tag_tax_eu_purchase_in","tax_group_25"
"tax_eu_purchase_rc","Reverse Charge EU Erhvervelsesmoms","l10n_dk","none","Reverse Charge EU Erhvervelsesmoms","percent","-25","6907","6907","","tag_tax_eu_purchase_rc","tax_group_reverse"
"tax_eu_purchase","EU Erhvervelsesmoms","l10n_dk","purchase","EU Erhvervelsesmoms","group","","6906","6906","tax_eu_purchase_in,tax_eu_purchase_rc","tag_tax_eu_purchase,tag_tax_rubrik_av","tax_group_0"
"tax_eu_purchase_service_in","EU Erhvervelsesmoms Ydelser","l10n_dk","none","EU Erhvervelsesmoms Ydelser","percent","25","6906","6906","","tag_tax_eu_purchase_service_in","tax_group_25"
"tax_eu_purchase_service_rc","Reverse Charge EU Erhvervelsesmoms Ydelser","l10n_dk","none","Reverse Charge EU Erhvervelsesmoms Ydelser","percent","-25","6907","6907","","tag_tax_eu_purchase_service_rc","tax_group_reverse"
"tax_eu_purchase_service","EU Erhvervelselsmoms Ydelser","l10n_dk","purchase","EU Erhvervelsesmoms Ydelser","group","","6906","6906","tax_eu_purchase_service_in,tax_eu_purchase_service_rc","tag_tax_eu_purchase_service,tag_tax_rubrik_ay","tax_group_0"
"tax_eu_sale","EU Salgsmoms","l10n_dk","sale","EU Salgsmoms","percent","0","6908","6908","","tag_tax_eu_sale,tag_tax_rubrik_bv","tax_group_0"
"tax_eu_sale_service","EU Salgsmoms Ydelser","l10n_dk","sale","EU Salgsmoms Ydelser","percent","0","6908","6908","","tag_tax_eu_sale_service,tag_tax_rubrik_by","tax_group_0"
"tax_import","Import udenfor EU","l10n_dk","purchase","Import udenfor EU","percent","0","","","","tag_tax_import","tax_group_0"
"tax_export","Eksport udenfor EU","l10n_dk","sale","Eksport udenfor EU","percent","0","6909","6909","","tag_tax_export,tag_tax_rubrik_c","tax_group_0"
"tax_no_sale","Ingen salgsmoms","l10n_dk","sale","Ingen salgsmoms","percent","0","6902","6902","","tag_tax_no_sale","tax_group_0"
"tax_no_purchase","Ingen købsmoms","l10n_dk","purchase","Ingen købsmoms","percent","0","6903","6903","","tag_tax_no_purchase","tax_group_0"
"tax_quarter_sale","Delvis moms (1/4)","l10n_dk","sale","Delvis moms (1/4)","percent","6.25","6902","6902","","tag_tax_quarter_sale","tax_group_5"
"tax_quarter_purchase","Delvis moms (1/4)","l10n_dk","purchase","Delvis moms (1/4)","percent","6.25","6903","6903","","tag_tax_quarter_purchase","tax_group_5"
"tax_rc_purchase_in","Køb med omvendt betalingspligt","l10n_dk","none","Køb med omvendt betalingspligt","percent","25","6905","6905","","tag_tax_rc_purchase_in","tax_group_25"
"tax_rc_purchase_rc","Reverse Charge Køb med omvendt betalingspligt","l10n_dk","none","Reverse Charge Køb med omvendt betalingspligt","percent","-25","6907","6907","","tag_tax_rc_purchase_rc","tax_group_reverse"
"tax_rc_purchase","Køb med omvendt betalingspligt","l10n_dk","purchase","Køb med omvendt betalingspligt","group","","6905","6905","tax_rc_purchase_in,tax_rc_purchase_rc","tag_tax_rc_purchase","tax_group_0"
"tax_rc_sale","Salg med omvendt betalingspligt","l10n_dk","sale","Salg med omvendt betalingspligt","percent","0","6904","6904","","tag_tax_rc_sale","tax_group_0"
